dong_name,safety_cnt,leisure_cnt,food_cnt,health_cnt,conv_cnt,transp_cnt,cafe_cnt,pub_cnt,gu_id,dongx,dongy
하왕십리동,209,12,188,48,16,28,28,2,16,37.562462,127.029586
홍익동,70,2,94,7,2,3,7,3,16,37.566144,127.032921
도선동,58,9,133,34,5,4,10,18,16,37.563897,127.033258
마장동,278,2,154,27,9,30,10,2,16,37.567305,127.039084
사근동,133,0,39,1,7,20,13,0,16,37.561371,127.046789
행당동,338,23,506,82,33,73,59,15,16,37.559076,127.035869
응봉동,126,0,19,9,3,31,2,0,16,37.551169,127.031462
금호동1가,61,4,65,19,4,37,13,1,16,37.554697,127.023412
금호동2가,83,3,74,13,3,19,7,2,16,37.552482,127.020133
금호동3가,95,1,104,28,5,25,11,1,16,37.549504,127.021812
금호동4가,147,3,86,28,6,29,12,0,16,37.547468,127.020060
옥수동,123,12,123,42,7,45,16,0,16,37.542764,127.014662
성수동1가,298,21,789,36,25,47,108,4,16,37.544661,127.046772
성수동2가,398,20,996,64,43,52,117,10,16,37.541123,127.056125
송정동,221,1,76,7,5,12,11,3,16,37.552124,127.067652
용답동,197,3,147,31,8,15,28,8,16,37.564354,127.052795
중곡동,183,29,757,159,56,88,100,22,6,37.561882,127.084745
능동,35,5,125,22,14,14,29,8,6,37.553729,127.082381
구의동,152,57,836,137,61,59,120,11,6,37.544655,127.089493
광장동,64,13,161,32,15,37,42,0,6,37.546992,127.103926
자양동,180,57,933,169,66,58,139,8,6,37.534692,127.074327
화양동,54,18,775,69,34,20,93,42,6,37.544427,127.070047
군자동,51,24,314,43,14,25,40,9,6,37.553878,127.073516
신설동,51,6,168,18,11,12,18,2,11,37.575204,127.026023
용두동,231,8,281,68,26,29,36,8,11,37.576328,127.034621
제기동,236,7,409,153,18,29,25,6,11,37.584134,127.037960
전농동,377,21,404,64,36,49,46,10,11,37.579797,127.053848
답십리동,322,16,326,78,28,41,41,12,11,37.569883,127.056757
장안동,427,36,838,109,53,60,70,49,11,37.570749,127.068233
청량리동,151,7,210,76,11,24,17,6,11,37.586643,127.044621
회기동,123,11,355,26,13,9,40,6,11,37.591447,127.051971
휘경동,287,13,244,38,26,31,38,7,11,37.589592,127.061228
이문동,306,7,358,44,24,37,38,4,11,37.598851,127.062465
면목동,1467,29,1340,143,87,128,125,92,25,37.584420,127.086487
상봉동,377,31,610,67,37,32,55,62,25,37.596267,127.085704
중화동,415,7,390,47,33,43,36,29,25,37.599750,127.077718
묵동,398,17,391,57,21,51,41,36,25,37.611266,127.077829
망우동,529,8,526,66,42,67,74,26,25,37.596678,127.100419
신내동,194,11,323,50,27,71,46,17,25,37.607237,127.098924
성북동,202,3,93,6,7,35,28,1,17,37.594567,126.997514
성북동1가,10,1,43,7,1,7,6,1,17,37.589374,127.003652
돈암동,114,6,66,23,8,46,18,0,17,37.598415,127.020288
동소문동1가,13,2,26,11,1,2,4,0,17,37.589858,127.007460
동소문동2가,14,3,62,15,1,3,5,2,17,37.588696,127.008412
동소문동3가,5,1,13,11,0,2,2,0,17,37.590052,127.010816
동소문동4가,13,1,19,5,1,2,7,0,17,37.591541,127.010756
동소문동5가,0,3,78,8,3,2,2,2,17,37.591666,127.015590
동소문동6가,17,2,23,28,3,2,6,0,17,37.593770,127.014858
동소문동7가,5,0,17,2,0,3,3,0,17,37.596303,127.014721
삼선동1가,98,0,39,5,1,6,6,1,17,37.585059,127.007942
삼선동2가,40,0,64,1,4,13,6,0,17,37.585259,127.010538
삼선동3가,19,0,10,0,0,7,3,0,17,37.586298,127.012802
삼선동4가,14,0,50,6,1,3,5,0,17,37.589818,127.013135
삼선동5가,13,1,64,7,3,5,8,0,17,37.588250,127.015789
동선동1가,23,13,256,20,2,2,20,7,17,37.592065,127.018260
동선동2가,22,1,110,0,1,6,16,3,17,37.590091,127.020053
동선동3가,28,0,42,0,2,0,7,0,17,37.594108,127.020597
동선동4가,34,0,46,18,2,3,8,1,17,37.595087,127.018541
동선동5가,25,1,29,2,2,1,7,1,17,37.596185,127.016726
