법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,음식점수,장보기시설,쇼핑시설,유흥주점,헬스시설,다방,커피숍,패스트푸드,편의점,마트,음식점
양화동,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
신길동,1,142,5,12,8,12,43,0,26,28,4,40,127,2,2,2,10,65,18,874,4.0,2.0,5.0,31.0,4.0,85.0,10.0,63.0,5.0,597.0
대림동,1,66,1,8,6,4,23,0,16,5,3,39,78,0,2,0,0,127,13,912,1.0,4.0,2.0,6.0,5.0,61.0,8.0,30.0,4.0,627.0
양평동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
노량진동,0,38,6,0,2,2,12,0,13,11,1,23,31,0,0,1,2,27,9,495,0.0,1.0,10.0,12.0,1.0,72.0,8.0,21.0,0.0,366.0
상도동,2,131,5,10,4,6,33,0,34,19,1,52,129,4,1,2,7,42,21,664,4.0,2.0,7.0,23.0,0.0,92.0,7.0,43.0,6.0,438.0
상도1동,1,16,0,0,0,0,5,0,6,3,1,6,24,0,0,0,0,7,0,115,0.0,0.0,0.0,0.0,0.0,23.0,3.0,13.0,0.0,84.0
본동,0,26,0,0,0,0,5,0,2,1,0,4,5,0,1,0,2,1,1,24,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,17.0
흑석동,0,50,3,3,3,1,13,0,7,5,1,24,39,2,0,0,4,8,12,345,0.0,1.0,1.0,7.0,2.0,37.0,4.0,11.0,1.0,208.0
동작동,1,16,0,0,0,0,1,0,3,1,0,0,0,1,0,0,1,0,0,5,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,3.0
사당동,5,82,5,9,5,2,42,8,35,16,3,44,151,2,2,0,4,62,14,973,0.0,3.0,24.0,17.0,1.0,126.0,14.0,45.0,3.0,658.0
