dong_id,type_id,score,score_id
116,2,2,921
116,3,1,922
116,5,1,923
116,4,1,924
116,1,1,925
116,8,1,926
116,6,2,927
116,7,1,928
117,2,1,929
117,3,1,930
117,5,1,931
117,4,1,932
117,1,1,933
117,8,1,934
117,6,1,935
117,7,1,936
118,2,2,937
118,3,1,938
118,5,1,939
118,4,1,940
118,1,1,941
118,8,1,942
118,6,1,943
118,7,1,944
119,2,2,945
119,3,3,946
119,5,2,947
119,4,2,948
119,1,2,949
119,8,1,950
119,6,2,951
119,7,2,952
120,2,2,953
120,3,1,954
120,5,2,955
120,4,1,956
120,1,2,957
120,8,1,958
120,6,1,959
120,7,1,960
121,2,1,961
121,3,1,962
121,5,2,963
121,4,1,964
121,1,1,965
121,8,1,966
121,6,1,967
121,7,1,968
122,2,2,969
122,3,1,970
122,5,1,971
122,4,1,972
122,1,1,973
122,8,1,974
122,6,1,975
122,7,1,976
123,2,2,977
123,3,1,978
123,5,1,979
123,4,1,980
123,1,1,981
123,8,1,982
123,6,2,983
123,7,1,984
124,2,1,985
124,3,1,986
124,5,1,987
124,4,1,988
124,1,1,989
124,8,1,990
124,6,2,991
124,7,2,992
125,2,2,993
125,3,2,994
125,5,2,995
125,4,2,996
125,1,1,997
125,8,1,998
125,6,2,999
125,7,2,1000
126,2,2,1001
126,3,1,1002
126,5,2,1003
126,4,1,1004
126,1,1,1005
126,8,1,1006
126,6,2,1007
126,7,2,1008
127,2,1,1009
127,3,1,1010
127,5,1,1011
127,4,1,1012
127,1,1,1013
127,8,1,1014
127,6,1,1015
127,7,1,1016
128,2,1,1017
128,3,1,1018
128,5,1,1019
128,4,1,1020
128,1,1,1021
128,8,1,1022
128,6,1,1023
128,7,1,1024
129,2,2,1025
129,3,1,1026
129,5,1,1027
129,4,1,1028
129,1,1,1029
129,8,1,1030
129,6,1,1031
129,7,1,1032
130,2,2,1033
130,3,1,1034
130,5,1,1035
130,4,1,1036
130,1,1,1037
130,8,1,1038
130,6,1,1039
130,7,1,1040
131,2,3,1041
131,3,1,1042
131,5,2,1043
131,4,1,1044
131,1,2,1045
131,8,2,1046
131,6,2,1047
131,7,2,1048
132,2,2,1049
132,3,1,1050
132,5,2,1051
132,4,1,1052
132,1,1,1053
132,8,1,1054
132,6,2,1055
132,7,1,1056
133,2,2,1057
133,3,1,1058
133,5,1,1059
133,4,1,1060
133,1,1,1061
133,8,2,1062
133,6,1,1063
133,7,1,1064
134,2,1,1065
134,3,1,1066
134,5,1,1067
134,4,2,1068
134,1,1,1069
134,8,1,1070
134,6,2,1071
134,7,1,1072
135,2,2,1073
135,3,3,1074
135,5,3,1075
135,4,2,1076
135,1,3,1077
135,8,2,1078
135,6,3,1079
135,7,2,1080
136,2,1,1081
136,3,1,1082
136,5,1,1083
136,4,1,1084
136,1,1,1085
136,8,1,1086
136,6,2,1087
136,7,1,1088
137,2,1,1089
137,3,1,1090
137,5,1,1091
137,4,2,1092
137,1,2,1093
137,8,2,1094
137,6,2,1095
137,7,1,1096
138,2,1,1097
138,3,1,1098
138,5,1,1099
138,4,1,1100
138,1,2,1101
138,8,1,1102
138,6,2,1103
138,7,1,1104
139,2,2,1105
139,3,1,1106
139,5,2,1107
139,4,1,1108
139,1,1,1109
139,8,1,1110
139,6,2,1111
139,7,2,1112
140,2,1,1113
140,3,1,1114
140,5,1,1115
140,4,1,1116
140,1,1,1117
140,8,1,1118
140,6,1,1119
140,7,1,1120
141,2,1,1121
141,3,1,1122
141,5,1,1123
141,4,1,1124
141,1,2,1125
141,8,1,1126
141,6,2,1127
141,7,2,1128
142,2,2,1129
142,3,1,1130
142,5,2,1131
142,4,1,1132
142,1,1,1133
142,8,2,1134
142,6,2,1135
142,7,2,1136
143,2,1,1137
143,3,1,1138
143,5,1,1139
143,4,1,1140
143,1,1,1141
143,8,1,1142
143,6,1,1143
143,7,1,1144
144,2,1,1145
144,3,1,1146
144,5,1,1147
144,4,1,1148
144,1,1,1149
144,8,1,1150
144,6,1,1151
144,7,1,1152
145,2,1,1153
145,3,2,1154
145,5,2,1155
145,4,1,1156
145,1,2,1157
145,8,1,1158
145,6,2,1159
145,7,1,1160
146,2,2,1161
146,3,2,1162
146,5,2,1163
146,4,2,1164
146,1,2,1165
146,8,1,1166
146,6,1,1167
146,7,2,1168
147,2,1,1169
147,3,1,1170
147,5,1,1171
147,4,1,1172
147,1,1,1173
147,8,1,1174
147,6,2,1175
147,7,2,1176
148,2,1,1177
148,3,1,1178
148,5,2,1179
148,4,2,1180
148,1,1,1181
148,8,1,1182
148,6,2,1183
148,7,2,1184
149,2,3,1185
149,3,3,1186
149,5,3,1187
149,4,3,1188
149,1,3,1189
149,8,3,1190
149,6,3,1191
149,7,2,1192
150,2,2,1193
150,3,2,1194
150,5,2,1195
150,4,2,1196
150,1,1,1197
150,8,1,1198
150,6,2,1199
150,7,2,1200
151,2,2,1201
151,3,1,1202
151,5,1,1203
151,4,2,1204
151,1,2,1205
151,8,1,1206
151,6,1,1207
151,7,2,1208
152,2,3,1209
152,3,2,1210
152,5,3,1211
152,4,2,1212
152,1,2,1213
152,8,2,1214
152,6,3,1215
152,7,2,1216
153,2,1,1217
153,3,2,1218
153,5,2,1219
153,4,2,1220
153,1,2,1221
153,8,2,1222
153,6,2,1223
153,7,2,1224
154,2,2,1225
154,3,2,1226
154,5,2,1227
154,4,1,1228
154,1,1,1229
154,8,1,1230
154,6,2,1231
154,7,1,1232
155,2,2,1233
155,3,2,1234
