경찰서,119안전센터,치안센터,CCTV수,치안,dong_id
0,0,0,97,97,189
0,1,1,155,157,190
1,1,0,309,311,191
1,0,1,228,230,192
0,0,0,55,55,193
0,1,0,47,48,194
0,0,0,11,11,195
0,0,0,14,14,196
1,0,0,209,210,197
0,0,0,5,5,198
0,0,1,208,209,199
1,0,0,69,70,200
0,1,0,57,58,201
0,0,2,276,278,202
0,0,0,133,133,203
2,1,0,335,338,204
1,0,0,125,126,205
0,1,0,60,61,206
1,0,0,82,83,207
0,0,0,95,95,208
1,0,1,145,147,209
0,0,0,123,123,210
0,0,2,296,298,211
2,1,0,395,398,212
0,0,0,221,221,213
1,0,0,196,197,214
4,1,0,178,183,215
0,1,0,34,35,216
1,1,1,149,152,217
1,0,0,63,64,218
3,0,1,176,180,219
1,0,0,53,54,220
0,0,0,51,51,221
0,0,1,50,51,222
1,1,1,228,231,223
1,0,0,235,236,224
2,1,1,373,377,225
1,0,2,319,322,226
2,1,2,422,427,227
1,1,0,149,151,228
1,0,0,122,123,229
1,1,1,284,287,230
1,0,1,304,306,231
4,1,5,1457,1467,232
0,0,1,376,377,233
1,1,1,412,415,234
1,0,0,397,398,235
1,1,2,525,529,236
1,1,0,192,194,237
1,0,0,201,202,238
0,0,1,9,10,239
1,0,1,112,114,240
0,0,0,13,13,241
0,0,0,14,14,242
0,0,0,5,5,243
0,0,0,13,13,244
0,0,0,0,0,245
0,0,0,17,17,246
0,0,0,5,5,247
0,0,0,98,98,248
0,0,0,40,40,249
0,0,1,18,19,250
0,1,0,13,14,251
0,0,0,13,13,252
0,0,0,23,23,253
0,0,0,22,22,254
0,0,0,28,28,255
0,0,0,34,34,256
0,0,0,25,25,257
0,0,0,24,24,258
0,0,0,22,22,259
0,0,0,25,25,260
0,0,0,20,20,261
0,0,0,65,65,262
0,0,0,11,11,263
0,0,0,6,6,264
0,0,1,43,44,265
0,0,0,24,24,266
0,0,0,9,9,267
0,0,0,13,13,268
1,0,0,12,13,269
2,0,3,676,681,270
1,1,2,132,136,271
1,1,1,201,204,272
1,0,0,235,236,273
1,0,0,105,106,274
0,1,2,635,638,275
1,0,1,339,341,276
3,2,3,994,1002,277
2,1,0,397,400,278
4,1,1,909,915,279
0,0,1,155,156,280
2,1,0,0,3,281
2,2,1,0,5,282
2,1,0,2,5,283
2,0,0,3,5,284
1,1,3,242,247,285
1,1,1,342,345,286
0,1,1,67,69,287
4,2,2,614,622,288
2,0,1,141,144,289
0,1,1,95,97,290
0,1,0,263,264,291
1,0,2,473,476,292
1,0,1,423,425,293
0,0,1,204,205,294
1,0,0,196,197,295
2,0,1,550,553,296
1,1,1,289,292,297
2,0,1,800,803,298
0,0,1,168,169,299
1,1,2,301,305,300
0,0,0,11,11,301
0,0,0,71,71,302
0,0,0,0,0,303
0,0,0,2,2,304
0,0,0,8,8,305
0,0,0,42,42,306
1,0,0,8,9,307
0,0,0,4,4,308
0,0,0,54,54,309
0,1,1,249,251,310
1,0,0,459,460,311
1,0,0,62,63,312
0,0,0,33,33,313
0,0,1,12,13,314
0,0,0,13,13,315
0,0,1,178,179,316
1,1,0,500,502,317
2,1,0,573,576,318
1,1,0,411,413,319
1,0,0,284,285,320
0,0,1,5,6,321
1,1,0,0,2,322
0,0,0,0,0,323
0,0,1,0,1,324
1,0,0,0,1,325
0,0,0,0,0,326
0,0,0,0,0,327
0,0,1,0,1,328
0,1,0,0,1,329
0,0,1,0,1,330
0,1,0,0,1,331
0,0,0,0,0,332
0,0,0,0,0,333
1,0,0,0,1,334
0,0,0,0,0,335
0,0,0,0,0,336
3,2,2,2321,2328,337
0,0,0,0,0,338
1,1,1,0,3,339
0,0,1,0,1,340
0,0,0,0,0,341
1,0,1,0,2,342
1,0,0,0,1,343
1,1,0,0,2,344
0,0,0,0,0,345
1,1,0,0,2,346
2,2,3,2348,2355,347
3,1,2,2707,2713,348
1,0,0,78,79,349
2,1,0,194,197,350
4,1,1,1282,1288,351
0,0,0,85,85,352
0,1,0,27,28,353
1,1,0,156,158,354
0,0,0,3,3,355
0,0,0,114,114,356
2,1,0,305,308,357
0,1,1,76,78,358
0,0,0,0,0,359
0,0,0,0,0,360
0,0,0,0,0,361
0,1,2,106,109,362
3,2,2,1106,1113,363
1,0,0,326,327,364
1,2,1,452,456,365
1,0,3,558,562,366
1,0,0,329,330,367
1,1,0,136,138,368
0,0,1,104,105,369
0,0,0,35,35,370
0,0,0,39,39,371
1,0,0,257,258,372
2,1,3,1386,1392,373
2,1,4,1281,1288,374
1,0,0,155,156,375
0,0,0,8,8,376
0,0,1,64,65,377
1,0,0,50,51,378
0,1,0,34,35,379
0,0,0,36,36,380
0,0,0,20,20,381
0,0,0,30,30,382
0,0,0,24,24,383
1,1,0,95,97,384
0,0,0,79,79,385
0,0,0,21,21,386
0,0,0,36,36,387
0,0,0,40,40,388
1,0,0,15,16,389
0,1,0,93,94,390
0,0,0,27,27,391
0,0,1,226,227,392
0,0,0,41,41,393
0,0,0,44,44,394
1,0,0,66,67,395
0,0,0,51,51,396
0,0,0,26,26,397
0,0,0,39,39,398
1,0,0,53,54,399
0,0,0,47,47,400
0,0,0,71,71,401
0,0,1,63,64,402
0,0,0,45,45,403
0,0,0,24,24,404
0,0,0,7,7,405
2,2,2,1100,1106,406
2,0,0,598,600,407
0,0,0,8,8,408
0,1,0,162,163,409
1,2,4,478,485,410
0,0,0,52,52,411
1,0,0,37,38,412
0,0,2,127,129,413
0,0,1,14,15,414
2,0,2,495,499,415
2,0,1,120,123,416
1,1,0,206,208,417
3,2,5,0,10,418
5,2,4,0,11,419
1,0,0,0,1,420
3,1,3,702,709,421
1,1,0,308,310,422
1,0,1,79,81,423
0,0,0,8,8,424
0,0,1,131,132,425
2,2,2,293,299,426
3,2,0,454,459,427
1,0,0,42,43,428
0,0,1,15,16,429
0,0,0,38,38,430
1,1,1,764,767,431
1,1,0,637,639,432
1,0,1,357,359,433
2,1,1,600,604,434
2,0,1,561,564,435
2,1,0,790,793,436
1,0,1,65,67,437
1,0,0,66,67,438
0,0,0,51,51,439
0,1,0,62,63,440
1,0,0,291,292,441
1,1,1,80,83,442
0,0,1,284,285,443
1,2,3,293,299,444
2,0,0,93,95,445
1,0,1,209,211,446
0,0,1,215,216,447
0,0,1,162,163,448
1,0,0,189,190,449
1,1,1,258,261,450
1,0,1,240,242,451
1,0,1,165,167,452
1,1,0,263,265,453
1,0,0,213,214,454
0,0,0,427,427,455
1,2,1,283,287,456
1,0,2,203,206,457
1,1,0,304,306,458
1,1,0,205,207,459
0,1,1,316,318,460
2,0,0,221,223,461
1,1,1,482,485,462
1,1,1,556,559,463
1,1,2,830,834,464
1,0,0,62,63,465
