경찰서,119안전센터,치안센터,CCTV수,치안,dong_id,치안_점수
1,0,0,17,18,142,2
0,0,0,3,3,143,1
0,0,0,11,11,144,1
0,1,0,3,4,145,1
0,0,0,13,13,146,2
0,0,0,5,5,147,1
0,0,0,1,1,148,1
3,2,2,723,730,149,3
0,0,0,26,26,150,2
0,1,0,12,13,151,2
0,0,0,89,89,152,3
1,0,0,9,10,153,1
0,0,0,26,26,154,2
0,0,0,24,24,155,2
0,0,0,2,2,156,1
0,0,0,2,2,157,1
1,0,0,51,52,158,2
0,0,0,14,14,159,2
0,0,0,27,27,160,2
0,0,0,44,44,161,2
1,1,0,230,232,162,3
0,0,1,212,213,163,3
0,0,0,0,0,164,1
0,0,0,52,52,165,2
0,0,0,22,22,166,2
0,0,0,7,7,167,1
0,0,1,42,43,168,2
0,0,0,111,111,169,3
0,0,0,65,65,170,2
0,0,0,62,62,171,2
0,0,1,54,55,172,2
1,0,0,58,59,173,2
0,0,0,30,30,174,2
0,0,0,43,43,175,2
0,0,0,9,9,176,1
0,0,0,3,3,177,1
0,0,0,35,35,178,2
0,0,0,23,23,179,2
0,0,0,88,88,180,3
0,0,0,9,9,181,1
0,0,0,64,64,182,2
0,0,0,0,0,183,1
0,0,0,9,9,184,1
1,0,0,19,20,185,2
0,1,0,63,64,186,2
0,0,0,8,8,187,1
1,0,0,15,16,188,2
0,0,0,97,97,189,3
0,1,1,155,157,190,3
1,1,0,309,311,191,3
1,0,1,228,230,192,3
0,0,0,55,55,193,2
0,1,0,47,48,194,2
0,0,0,11,11,195,1
0,0,0,14,14,196,2
1,0,0,209,210,197,3
0,0,0,5,5,198,1
0,0,1,208,209,199,3
1,0,0,69,70,200,2
0,1,0,57,58,201,2
0,0,2,276,278,202,3
0,0,0,133,133,203,3
2,1,0,335,338,204,3
1,0,0,125,126,205,3
0,1,0,60,61,206,2
1,0,0,82,83,207,3
0,0,0,95,95,208,3
1,0,1,145,147,209,3
0,0,0,123,123,210,3
0,0,2,296,298,211,3
2,1,0,395,398,212,3
0,0,0,221,221,213,3
1,0,0,196,197,214,3
4,1,0,178,183,215,3
0,1,0,34,35,216,2
1,1,1,149,152,217,3
1,0,0,63,64,218,2
3,0,1,176,180,219,3
1,0,0,53,54,220,2
0,0,0,51,51,221,2
