모든병원,약국,보건,dong_id
8,3,11,243
3,2,5,244
6,2,8,245
23,5,28,246
1,1,2,247
3,2,5,248
1,0,1,249
0,0,0,250
3,3,6,251
6,1,7,252
14,6,20,253
0,0,0,254
0,0,0,255
15,3,18,256
2,0,2,257
0,0,0,258
2,1,3,259
0,0,0,260
1,0,1,261
10,10,20,262
3,1,4,263
5,3,8,264
0,0,0,265
1,1,2,266
3,0,3,267
4,1,5,268
0,0,0,269
40,27,67,270
35,21,56,271
37,19,56,272
37,25,62,273
5,1,6,274
24,23,47,275
34,17,51,276
210,58,268,277
70,18,88,278
129,34,163,279
7,8,15,280
50,18,68,281
50,16,66,282
78,33,111,283
25,10,35,284
66,25,91,285
99,40,139,286
23,15,38,287
371,99,470,288
131,40,171,289
9,5,14,290
25,8,33,291
78,17,95,292
46,15,61,293
24,7,31,294
91,20,111,295
95,30,125,296
38,16,54,297
711,94,805,298
19,9,28,299
54,22,76,300
9,2,11,301
5,1,6,302
0,0,0,303
4,2,6,304
5,2,7,305
1,0,1,306
5,1,6,307
11,3,14,308
1,0,1,309
17,9,26,310
54,30,84,311
10,6,16,312
1,5,6,313
2,1,3,314
0,0,0,315
37,18,55,316
30,14,44,317
23,15,38,318
36,13,49,319
45,23,68,320
50,10,60,321
44,15,59,322
14,4,18,323
76,12,88,324
5,2,7,325
0,1,1,326
2,0,2,327
34,7,41,328
15,1,16,329
52,7,59,330
8,5,13,331
0,0,0,332
6,0,6,333
12,3,15,334
7,2,9,335
1,0,1,336
191,50,241,337
0,0,0,338
56,17,73,339
69,12,81,340
22,7,29,341
28,17,45,342
10,2,12,343
16,11,27,344
11,3,14,345
57,15,72,346
214,49,263,347
92,26,118,348
45,15,60,349
79,36,115,350
208,79,287,351
34,15,49,352
147,41,188,353
57,19,76,354
1,0,1,355
19,8,27,356
64,22,86,357
0,0,0,358
1,1,2,359
0,0,0,360
0,0,0,361
60,15,75,362
219,78,297,363
11,5,16,364
61,17,78,365
96,28,124,366
63,16,79,367
7,3,10,368
7,2,9,369
11,1,12,370
9,1,10,371
70,11,81,372
108,36,144,373
129,40,169,374
14,6,20,375
0,0,0,376
0,4,4,377
29,8,37,378
24,11,35,379
13,5,18,380
17,2,19,381
5,2,7,382
11,3,14,383
151,45,196,384
6,4,10,385
7,1,8,386
19,2,21,387
16,5,21,388
27,6,33,389
31,6,37,390
0,0,0,391
12,7,19,392
1,0,1,393
4,1,5,394
33,11,44,395
2,1,3,396
0,0,0,397
13,3,16,398
3,1,4,399
7,3,10,400
4,2,6,401
14,3,17,402
8,4,12,403
0,0,0,404
0,0,0,405
131,40,171,406
81,39,120,407
0,0,0,408
32,23,55,409
130,52,182,410
25,6,31,411
5,4,9,412
40,24,64,413
0,0,0,414
154,44,198,415
59,17,76,416
51,23,74,417
275,95,370,418
265,103,368,419
28,9,37,420
